Data zamówienia	Kraj odbiorcy	Cena jednostkowa	Iloœæ	Nazwa produktu	Nazwisko	Stanowisko	Region
30.07.1996	Wenezuela	27,80 z³	4	Mozzarella di Giovanni	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
31.07.1996	USA	27,80 z³	20	Mozzarella di Giovanni	Buchanan	Dyrektor ds. sprzeda¿y	
31.07.1996	USA	2,00 z³	60	Geitost	Buchanan	Dyrektor ds. sprzeda¿y	
01.08.1996	Finlandia	15,20 z³	30	Inlagd Sill	Davolio	Przedstawiciel handlowy	WA
01.08.1996	Finlandia	36,80 z³	25	Ipoh Coffee	Davolio	Przedstawiciel handlowy	WA
01.08.1996	USA	2,00 z³	24	Geitost	Suyama	Przedstawiciel handlowy	
02.08.1996	USA	10,00 z³	40	Gorgonzola Telino	Suyama	Przedstawiciel handlowy	
02.08.1996	USA	27,80 z³	24	Mozzarella di Giovanni	Suyama	Przedstawiciel handlowy	
02.08.1996	USA	64,80 z³	6	Sir Rodney's Marmalade	Suyama	Przedstawiciel handlowy	
05.08.1996	Niemcy	2,00 z³	20	Geitost	Leverling	Przedstawiciel handlowy	WA
05.08.1996	Niemcy	14,70 z³	60	Boston Crab Meat	Leverling	Przedstawiciel handlowy	WA
05.08.1996	Niemcy	24,80 z³	24	Ikura	Leverling	Przedstawiciel handlowy	WA
05.08.1996	Niemcy	10,00 z³	15	Gorgonzola Telino	Leverling	Przedstawiciel handlowy	WA
05.08.1996	Niemcy	14,40 z³	33	Lakkalikööri	Leverling	Przedstawiciel handlowy	WA
06.08.1996	Francja	27,80 z³	7	Mozzarella di Giovanni	Suyama	Przedstawiciel handlowy	
06.08.1996	Francja	17,20 z³	20	Flotemysost	Suyama	Przedstawiciel handlowy	
07.08.1996	W³ochy	3,60 z³	12	Guaraná Fantástica	Davolio	Przedstawiciel handlowy	WA
07.08.1996	W³ochy	44,00 z³	6	Raclette Courdavault	Davolio	Przedstawiciel handlowy	WA
08.08.1996	Meksyk	24,80 z³	15	Ikura	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
08.08.1996	Meksyk	4,80 z³	10	Konbu	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
09.08.1996	Niemcy	36,40 z³	20	Rössle Sauerkraut	Fuller	Wiceprezes ds. sprzeda¿y	WA
09.08.1996	Niemcy	39,40 z³	12	Tarte au sucre	Fuller	Wiceprezes ds. sprzeda¿y	WA
12.08.1996	Szwecja	15,50 z³	16	Gula Malacca	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
12.08.1996	Szwecja	44,00 z³	15	Raclette Courdavault	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
12.08.1996	Szwecja	35,10 z³	8	Vegie-spread	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
12.08.1996	Szwecja	12,00 z³	25	Röd Kaviar	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
13.08.1996	Niemcy	31,20 z³	15	Alice Mutton	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
14.08.1996	Hiszpania	14,40 z³	4	Steeleye Stout	Peacock	Przedstawiciel handlowy	WA
14.08.1996	Szwecja	3,60 z³	12	Guaraná Fantástica	Fuller	Wiceprezes ds. sprzeda¿y	WA
14.08.1996	Szwecja	6,20 z³	30	Rhönbräu Klosterbier	Fuller	Wiceprezes ds. sprzeda¿y	WA
14.08.1996	Szwecja	19,20 z³	20	Pâte chinois	Fuller	Wiceprezes ds. sprzeda¿y	WA
14.08.1996	Hiszpania	7,30 z³	1	Teatime Chocolate Biscuits	Peacock	Przedstawiciel handlowy	WA
14.08.1996	Hiszpania	3,60 z³	6	Guaraná Fantástica	Peacock	Przedstawiciel handlowy	WA
15.08.1996	Hiszpania	20,70 z³	6	Nord-Ost Matjeshering	Peacock	Przedstawiciel handlowy	WA
15.08.1996	Hiszpania	15,60 z³	2	Ravioli Angelo	Peacock	Przedstawiciel handlowy	WA
16.08.1996	Wenezuela	7,30 z³	18	Teatime Chocolate Biscuits	Leverling	Przedstawiciel handlowy	WA
16.08.1996	Wenezuela	27,80 z³	3	Mozzarella di Giovanni	Leverling	Przedstawiciel handlowy	WA
16.08.1996	Wenezuela	12,40 z³	20	Genen Shouyu	Leverling	Przedstawiciel handlowy	WA
16.08.1996	Wenezuela	27,20 z³	35	Camembert Pierrot	Leverling	Przedstawiciel handlowy	WA
19.08.1996	Niemcy	15,50 z³	21	Gula Malacca	Peacock	Przedstawiciel handlowy	WA
19.08.1996	Niemcy	35,10 z³	15	Schoggi Schokolade	Peacock	Przedstawiciel handlowy	WA
19.08.1996	Niemcy	27,20 z³	20	Camembert Pierrot	Peacock	Przedstawiciel handlowy	WA
19.08.1996	Niemcy	11,20 z³	5	Laughing Lumberjack Lager	Peacock	Przedstawiciel handlowy	WA
20.08.1996	Niemcy	14,70 z³	40	Boston Crab Meat	Davolio	Przedstawiciel handlowy	WA
20.08.1996	Niemcy	14,40 z³	45	Chai	Davolio	Przedstawiciel handlowy	WA
20.08.1996	Niemcy	26,20 z³	36	Perth Pasties	Davolio	Przedstawiciel handlowy	WA
21.08.1996	Niemcy	39,40 z³	40	Tarte au sucre	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
21.08.1996	Niemcy	14,40 z³	100	Steeleye Stout	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
22.08.1996	Brazylia	11,20 z³	20	Sasquatch Ale	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
22.08.1996	Brazylia	9,60 z³	15	Spegesild	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
22.08.1996	Brazylia	13,90 z³	40	Pavlova	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
23.08.1996	W³ochy	5,90 z³	10	Tourtiere	Peacock	Przedstawiciel handlowy	WA
23.08.1996	W³ochy	10,00 z³	3	Scottish Longbreads	Peacock	Przedstawiciel handlowy	WA
26.08.1996	Wielka Brytania	26,60 z³	9	Wimmers gute Semmelknödel	King	Przedstawiciel handlowy	
26.08.1996	Wielka Brytania	8,00 z³	30	Aniseed Syrup	King	Przedstawiciel handlowy	
27.08.1996	Brazylia	4,80 z³	20	Konbu	Suyama	Przedstawiciel handlowy	
27.08.1996	Brazylia	16,00 z³	15	Maxilaku	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
27.08.1996	Brazylia	17,00 z³	20	Chef Anton's Gumbo Mix	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
27.08.1996	Brazylia	42,40 z³	2	Manjimup Dried Apples	Suyama	Przedstawiciel handlowy	
27.08.1996	Brazylia	99,00 z³	15	Thüringer Rostbratwurst	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
27.08.1996	Brazylia	15,50 z³	24	Gula Malacca	Suyama	Przedstawiciel handlowy	
27.08.1996	Brazylia	10,40 z³	10	Original Frankfurter grüne Soße	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
28.08.1996	Brazylia	64,80 z³	20	Sir Rodney's Marmalade	Davolio	Przedstawiciel handlowy	WA
29.08.1996	Meksyk	35,10 z³	5	Vegie-spread	Davolio	Przedstawiciel handlowy	WA
29.08.1996	Meksyk	3,60 z³	10	Guaraná Fantástica	Davolio	Przedstawiciel handlowy	WA
29.08.1996	Meksyk	6,20 z³	6	Rhönbräu Klosterbier	Davolio	Przedstawiciel handlowy	WA
29.08.1996	Meksyk	50,00 z³	12	Carnarvon Tigers	Davolio	Przedstawiciel handlowy	WA
30.08.1996	USA	31,20 z³	15	Alice Mutton	Peacock	Przedstawiciel handlowy	WA
30.08.1996	USA	6,20 z³	6	Rhönbräu Klosterbier	Peacock	Przedstawiciel handlowy	WA
30.08.1996	USA	27,20 z³	21	Camembert Pierrot	Peacock	Przedstawiciel handlowy	WA
30.08.1996	USA	36,80 z³	15	Ipoh Coffee	Peacock	Przedstawiciel handlowy	WA
30.08.1996	USA	14,40 z³	18	Chai	Peacock	Przedstawiciel handlowy	WA
02.09.1996	Francja	30,40 z³	4	Gnocchi di nonna Alice	Fuller	Wiceprezes ds. sprzeda¿y	WA
03.09.1996	Wenezuela	16,80 z³	12	Queso Cabrales	Suyama	Przedstawiciel handlowy	
03.09.1996	Wenezuela	28,80 z³	15	Gudbrandsdalsost	Suyama	Przedstawiciel handlowy	
03.09.1996	Wenezuela	13,90 z³	30	Pavlova	Suyama	Przedstawiciel handlowy	
04.09.1996	Francja	14,40 z³	60	Chartreuse verte	Buchanan	Dyrektor ds. sprzeda¿y	
04.09.1996	Francja	27,80 z³	20	Mozzarella di Giovanni	Buchanan	Dyrektor ds. sprzeda¿y	
05.09.1996	Irlandia	15,20 z³	40	Chang	Suyama	Przedstawiciel handlowy	
05.09.1996	Irlandia	39,40 z³	15	Tarte au sucre	Suyama	Przedstawiciel handlowy	
05.09.1996	Irlandia	44,00 z³	30	Raclette Courdavault	Suyama	Przedstawiciel handlowy	
05.09.1996	Irlandia	15,20 z³	40	Inlagd Sill	Suyama	Przedstawiciel handlowy	
06.09.1996	Brazylia	7,30 z³	15	Teatime Chocolate Biscuits	Peacock	Przedstawiciel handlowy	WA
06.09.1996	Brazylia	12,00 z³	20	Outback Lager	Peacock	Przedstawiciel handlowy	WA
09.09.1996	Niemcy	14,70 z³	10	Boston Crab Meat	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
09.09.1996	Niemcy	30,40 z³	20	Gnocchi di nonna Alice	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
09.09.1996	W³ochy	10,00 z³	20	Scottish Longbreads	Fuller	Wiceprezes ds. sprzeda¿y	WA
09.09.1996	W³ochy	13,60 z³	30	Louisiana Hot Spiced Okra	Fuller	Wiceprezes ds. sprzeda¿y	WA
10.09.1996	Belgia	36,80 z³	12	Ipoh Coffee	Peacock	Przedstawiciel handlowy	WA
10.09.1996	Belgia	31,20 z³	40	Alice Mutton	Peacock	Przedstawiciel handlowy	WA
10.09.1996	Belgia	36,40 z³	28	Rössle Sauerkraut	Peacock	Przedstawiciel handlowy	WA
11.09.1996	Hiszpania	16,80 z³	30	Louisiana Fiery Hot Pepper Sauce	King	Przedstawiciel handlowy	
11.09.1996	Hiszpania	14,70 z³	40	Boston Crab Meat	King	Przedstawiciel handlowy	
11.09.1996	Hiszpania	10,00 z³	15	Scottish Longbreads	King	Przedstawiciel handlowy	
12.09.1996	Meksyk	16,00 z³	30	Maxilaku	Davolio	Przedstawiciel handlowy	WA
12.09.1996	Meksyk	17,20 z³	2	Flotemysost	Davolio	Przedstawiciel handlowy	WA
12.09.1996	Meksyk	44,00 z³	10	Raclette Courdavault	Davolio	Przedstawiciel handlowy	WA
13.09.1996	USA	50,00 z³	25	Carnarvon Tigers	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
13.09.1996	USA	14,40 z³	30	Chartreuse verte	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
13.09.1996	USA	99,00 z³	25	Thüringer Rostbratwurst	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
16.09.1996	Hiszpania	26,20 z³	10	Perth Pasties	Davolio	Przedstawiciel handlowy	WA
16.09.1996	Hiszpania	20,70 z³	10	Nord-Ost Matjeshering	Davolio	Przedstawiciel handlowy	WA
16.09.1996	Hiszpania	5,90 z³	5	Tourtiere	Davolio	Przedstawiciel handlowy	WA
17.09.1996	USA	39,40 z³	10	Tarte au sucre	Fuller	Wiceprezes ds. sprzeda¿y	WA
17.09.1996	USA	10,00 z³	3	Scottish Longbreads	Fuller	Wiceprezes ds. sprzeda¿y	WA
18.09.1996	Meksyk	12,00 z³	5	Outback Lager	King	Przedstawiciel handlowy	
18.09.1996	Meksyk	28,80 z³	1	Gudbrandsdalsost	King	Przedstawiciel handlowy	
19.09.1996	Irlandia	17,60 z³	20	Chef Anton's Cajun Seasoning	Leverling	Przedstawiciel handlowy	WA
19.09.1996	Irlandia	36,80 z³	20	Ipoh Coffee	Leverling	Przedstawiciel handlowy	WA
19.09.1996	Irlandia	17,20 z³	3	Flotemysost	Leverling	Przedstawiciel handlowy	WA
19.09.1996	Irlandia	20,00 z³	30	Grandma's Boysenberry Spread	Leverling	Przedstawiciel handlowy	WA
19.09.1996	Irlandia	11,20 z³	2	Singaporean Hokkien Fried Mee	Leverling	Przedstawiciel handlowy	WA
20.09.1996	USA	13,90 z³	10	Pavlova	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
20.09.1996	USA	39,40 z³	5	Tarte au sucre	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
20.09.1996	Francja	28,80 z³	7	Gudbrandsdalsost	Davolio	Przedstawiciel handlowy	WA
20.09.1996	Francja	11,20 z³	6	Singaporean Hokkien Fried Mee	Davolio	Przedstawiciel handlowy	WA
23.09.1996	Niemcy	26,20 z³	20	Perth Pasties	Fuller	Wiceprezes ds. sprzeda¿y	WA
23.09.1996	Niemcy	36,80 z³	24	Ipoh Coffee	Fuller	Wiceprezes ds. sprzeda¿y	WA
23.09.1996	Niemcy	6,20 z³	10	Rhönbräu Klosterbier	Fuller	Wiceprezes ds. sprzeda¿y	WA
23.09.1996	Niemcy	36,40 z³	4	Rössle Sauerkraut	Fuller	Wiceprezes ds. sprzeda¿y	WA
24.09.1996	Niemcy	15,20 z³	12	Inlagd Sill	Fuller	Wiceprezes ds. sprzeda¿y	WA
25.09.1996	USA	39,40 z³	25	Tarte au sucre	Davolio	Przedstawiciel handlowy	WA
25.09.1996	USA	10,60 z³	30	Escargots de Bourgogne	Davolio	Przedstawiciel handlowy	WA
25.09.1996	USA	25,60 z³	40	Mascarpone Fabioli	Davolio	Przedstawiciel handlowy	WA
26.09.1996	Wielka Brytania	12,00 z³	30	Outback Lager	Peacock	Przedstawiciel handlowy	WA
26.09.1996	Wielka Brytania	11,20 z³	14	Sasquatch Ale	Peacock	Przedstawiciel handlowy	WA
27.09.1996	USA	39,40 z³	70	Tarte au sucre	Davolio	Przedstawiciel handlowy	WA
27.09.1996	USA	7,70 z³	10	Jack's New England Clam Chowder	Davolio	Przedstawiciel handlowy	WA
30.09.1996	USA	14,40 z³	20	Chai	Suyama	Przedstawiciel handlowy	
01.10.1996	Wielka Brytania	14,40 z³	6	Lakkalikööri	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
01.10.1996	Wielka Brytania	7,70 z³	20	Jack's New England Clam Chowder	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
02.10.1996	Meksyk	36,40 z³	14	Rössle Sauerkraut	King	Przedstawiciel handlowy	
02.10.1996	Meksyk	14,40 z³	30	Lakkalikööri	King	Przedstawiciel handlowy	
02.10.1996	Meksyk	31,20 z³	8	Alice Mutton	King	Przedstawiciel handlowy	
03.10.1996	Finlandia	17,20 z³	30	Flotemysost	Buchanan	Dyrektor ds. sprzeda¿y	
03.10.1996	Wielka Brytania	14,40 z³	10	Steeleye Stout	Leverling	Przedstawiciel handlowy	WA
04.10.1996	Meksyk	5,60 z³	20	Filo Mix	King	Przedstawiciel handlowy	
07.10.1996	Niemcy	11,20 z³	4	NuNuCa Nuß-Nougat-Creme	Peacock	Przedstawiciel handlowy	WA
07.10.1996	Niemcy	14,40 z³	4	Chartreuse verte	Peacock	Przedstawiciel handlowy	WA
07.10.1996	Niemcy	12,40 z³	5	Genen Shouyu	Peacock	Przedstawiciel handlowy	WA
08.10.1996	USA	44,00 z³	40	Raclette Courdavault	Dodsworth	Przedstawiciel handlowy	
08.10.1996	USA	14,40 z³	70	Steeleye Stout	Dodsworth	Przedstawiciel handlowy	
08.10.1996	USA	9,60 z³	30	Spegesild	Dodsworth	Przedstawiciel handlowy	
08.10.1996	USA	13,90 z³	21	Pavlova	Dodsworth	Przedstawiciel handlowy	
08.10.1996	USA	35,10 z³	80	Vegie-spread	Dodsworth	Przedstawiciel handlowy	
09.10.1996	Niemcy	10,00 z³	4	Gorgonzola Telino	Davolio	Przedstawiciel handlowy	WA
09.10.1996	Niemcy	20,00 z³	6	Grandma's Boysenberry Spread	Davolio	Przedstawiciel handlowy	WA
09.10.1996	Niemcy	27,80 z³	40	Mozzarella di Giovanni	Davolio	Przedstawiciel handlowy	WA
09.10.1996	Niemcy	18,60 z³	9	Tofu	Davolio	Przedstawiciel handlowy	WA
09.10.1996	Niemcy	4,80 z³	12	Konbu	Davolio	Przedstawiciel handlowy	WA
10.10.1996	Hiszpania	15,60 z³	16	Ravioli Angelo	Peacock	Przedstawiciel handlowy	WA
10.10.1996	Hiszpania	6,20 z³	50	Rhönbräu Klosterbier	Peacock	Przedstawiciel handlowy	WA
10.10.1996	Hiszpania	17,60 z³	24	Chef Anton's Cajun Seasoning	Peacock	Przedstawiciel handlowy	WA
11.10.1996	Szwecja	20,70 z³	35	Nord-Ost Matjeshering	Fuller	Wiceprezes ds. sprzeda¿y	WA
11.10.1996	Szwecja	10,60 z³	30	Escargots de Bourgogne	Fuller	Wiceprezes ds. sprzeda¿y	WA
11.10.1996	Szwecja	15,20 z³	25	Chang	Fuller	Wiceprezes ds. sprzeda¿y	WA
11.10.1996	Szwecja	16,80 z³	50	Queso Cabrales	Fuller	Wiceprezes ds. sprzeda¿y	WA
14.10.1996	Portugalia	10,00 z³	10	Scottish Longbreads	Peacock	Przedstawiciel handlowy	WA
14.10.1996	Portugalia	44,00 z³	9	Raclette Courdavault	Peacock	Przedstawiciel handlowy	WA
14.10.1996	Portugalia	16,80 z³	40	Louisiana Fiery Hot Pepper Sauce	Peacock	Przedstawiciel handlowy	WA
15.10.1996	USA	7,30 z³	10	Teatime Chocolate Biscuits	Peacock	Przedstawiciel handlowy	WA
15.10.1996	USA	20,70 z³	8	Nord-Ost Matjeshering	Peacock	Przedstawiciel handlowy	WA
15.10.1996	USA	210,80 z³	20	Côte de Blaye	Peacock	Przedstawiciel handlowy	WA
15.10.1996	USA	30,40 z³	12	Gnocchi di nonna Alice	Peacock	Przedstawiciel handlowy	WA
16.10.1996	Wenezuela	24,90 z³	50	Gumbär Gummibärchen	Leverling	Przedstawiciel handlowy	WA
16.10.1996	Francja	5,90 z³	15	Tourtiere	Dodsworth	Przedstawiciel handlowy	
16.10.1996	Wenezuela	27,80 z³	25	Mozzarella di Giovanni	Leverling	Przedstawiciel handlowy	WA
17.10.1996	Kanada	7,60 z³	16	Zaanse koeken	Leverling	Przedstawiciel handlowy	WA
17.10.1996	Kanada	11,20 z³	10	Singaporean Hokkien Fried Mee	Leverling	Przedstawiciel handlowy	WA
17.10.1996	Kanada	50,00 z³	40	Carnarvon Tigers	Leverling	Przedstawiciel handlowy	WA
18.10.1996	Finlandia	8,00 z³	10	Sir Rodney's Scones	Buchanan	Dyrektor ds. sprzeda¿y	
18.10.1996	Finlandia	18,60 z³	10	Tofu	Buchanan	Dyrektor ds. sprzeda¿y	
18.10.1996	Finlandia	17,20 z³	40	Flotemysost	Buchanan	Dyrektor ds. sprzeda¿y	
21.10.1996	Francja	10,00 z³	10	Scottish Longbreads	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
21.10.1996	Francja	5,60 z³	8	Filo Mix	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
22.10.1996	Irlandia	25,60 z³	6	Mascarpone Fabioli	King	Przedstawiciel handlowy	
22.10.1996	Irlandia	15,20 z³	7	Chang	King	Przedstawiciel handlowy	
22.10.1996	Irlandia	42,40 z³	48	Manjimup Dried Apples	King	Przedstawiciel handlowy	
22.10.1996	Irlandia	10,00 z³	25	Gorgonzola Telino	King	Przedstawiciel handlowy	
23.10.1996	Portugalia	17,60 z³	18	Chef Anton's Cajun Seasoning	King	Przedstawiciel handlowy	
24.10.1996	Niemcy	24,90 z³	24	Gumbär Gummibärchen	Peacock	Przedstawiciel handlowy	WA
24.10.1996	Niemcy	20,80 z³	28	Gravad lax	Peacock	Przedstawiciel handlowy	WA
24.10.1996	Niemcy	7,20 z³	40	Tunnbröd	Peacock	Przedstawiciel handlowy	WA
24.10.1996	Niemcy	15,20 z³	20	Inlagd Sill	Peacock	Przedstawiciel handlowy	WA
24.10.1996	Niemcy	27,80 z³	25	Mozzarella di Giovanni	Peacock	Przedstawiciel handlowy	WA
25.10.1996	USA	31,20 z³	20	Alice Mutton	Peacock	Przedstawiciel handlowy	WA
25.10.1996	USA	20,70 z³	15	Nord-Ost Matjeshering	Peacock	Przedstawiciel handlowy	WA
28.10.1996	Kanada	17,60 z³	10	Chef Anton's Cajun Seasoning	Fuller	Wiceprezes ds. sprzeda¿y	WA
28.10.1996	Kanada	39,40 z³	28	Tarte au sucre	Fuller	Wiceprezes ds. sprzeda¿y	WA
28.10.1996	Kanada	31,20 z³	70	Alice Mutton	Fuller	Wiceprezes ds. sprzeda¿y	WA
29.10.1996	Francja	50,00 z³	20	Carnarvon Tigers	Davolio	Przedstawiciel handlowy	WA
29.10.1996	Dania	44,00 z³	9	Raclette Courdavault	King	Przedstawiciel handlowy	
29.10.1996	Francja	36,80 z³	40	Ipoh Coffee	Davolio	Przedstawiciel handlowy	WA
29.10.1996	Dania	2,00 z³	8	Geitost	King	Przedstawiciel handlowy	
29.10.1996	Francja	7,70 z³	12	Jack's New England Clam Chowder	Davolio	Przedstawiciel handlowy	WA
30.10.1996	Niemcy	19,20 z³	40	Pâte chinois	Peacock	Przedstawiciel handlowy	WA
30.10.1996	Niemcy	10,00 z³	56	Gorgonzola Telino	Peacock	Przedstawiciel handlowy	WA
30.10.1996	Niemcy	15,20 z³	24	Chang	Peacock	Przedstawiciel handlowy	WA
30.10.1996	Niemcy	15,20 z³	40	Inlagd Sill	Peacock	Przedstawiciel handlowy	WA
